row_id,ts_end,ret_1h,ret_1d,atr_14,parkinson_20,std_20,rsi_14,roc_5,sma_50_rel,sma_200_rel,ema_20_rel,linreg_slope,obv_norm,vwap_dev,volume_ratio,best_strategy,best_sharpe,sharpe_sma_3_8,sharpe_sma_5_20,sharpe_sma_10_30,sharpe_sma_15_60,sharpe_sma_30_120,sharpe_sma_50_200,sharpe_ema_7_21,sharpe_ema_9_21,sharpe_ema_12_26,sharpe_ema_20_50,sharpe_ema_30_90,sharpe_ema_50_150
d0e4c0a94bb343cfb234b5bc1dceb14c,2024-01-15 00:00:00+00:00,-0.013012605960605717,-0.025319699959490016,65.50354097810231,0.15368624566084568,90.97804949447772,37.74652373007272,-0.0732303035611605,0.9955704468512012,0.9872557145980758,0.9976743496158668,-1.3843641633547936,0.5269321184000477,0.999978526182451,0.9526077959869106,sma_50_200,0.49492480547872547,-54.83732773011561,-25.0683694181261,-15.683793262126542,-9.51994595191465,-1.2934652468377321,0.49492480547872547,-23.118931911136364,-19.068844025058386,-20.234190931553233,-9.235355372483273,-5.217102383335585,0.4901806724972796
fea0eeeb8a2f412ca288ba3e17d8c8bd,2024-01-16 00:00:00+00:00,-0.0017773024104518198,0.018642802154392957,28.513799469064498,0.06695028629137993,41.198484252188074,42.85066732499595,-0.11740253640206191,0.9992789873684588,0.9961960684860863,0.9991901358299592,0.44457159636212673,1.0598606506206765,1.0002029567243584,1.588086921745488,ema_50_150,-1.3086004338165727,-58.730148791741925,-28.37012063917747,-17.373263663341735,-14.064957658437512,-2.867819400209225,-1.4081581820413898,-24.20821257494873,-20.385731502035078,-22.227043081650745,-12.371700415480955,-8.203025852421607,-1.3086004338165727
d83f7874851e4aaab77e90662307546d,2024-01-17 00:00:00+00:00,-0.0018039819532955637,0.014900648562346408,22.348684618941544,0.050993566559516805,14.916275569753001,48.235806706713596,0.05309243741120685,0.9993089323628602,0.9968627706995006,1.0000082868651587,-1.1438704089989562,0.9968732086265373,1.0001160287813178,0.9120121254792081,sma_50_200,-0.37737609056082577,-55.49094398156744,-28.493854917155975,-17.37881824877074,-12.915480139943634,-2.705063701711982,-0.37737609056082577,-24.919559910483798,-21.406346509524088,-21.78525224831636,-11.620304076837899,-7.292357638289301,-1.0392596828075966
b9e6110c7a7848ed8641cbe656399fe3,2024-01-18 00:00:00+00:00,0.0011143063203838954,-0.009293099051460585,21.321572804128305,0.04976496179290278,29.86546028265966,51.9561529990688,-0.04470898821360548,1.0006341030174093,1.0013091337715696,1.0000062987933374,0.9023532329819656,0.9762905187630402,0.9997032984466044,5.738030124295914,sma_50_200,-0.5872566208872098,-52.93569405599066,-28.948685677388585,-17.552601527666965,-12.752184175593316,-2.4175464106279385,-0.5872566208872098,-25.152222332946746,-21.323436848664194,-21.796736476166917,-12.461782387875134,-7.346883807472067,-0.6820964759605845
50a0626ca7a041878b0ede924b1c68f1,2024-01-19 00:00:00+00:00,-0.0020071230550468,-0.0347068520069721,18.386718143311544,0.046179292483074466,11.972018313162613,42.73292827177063,-0.041460805613489436,0.9993429813862256,1.0019986241909251,0.9993986073533186,0.2382343288505261,1.001571605503002,0.9996231574129127,2.133879036325463,sma_50_200,-2.031556648152697,-53.92478108702979,-30.787393796154884,-17.975137416867458,-13.828653515695372,-2.920743256006498,-2.031556648152697,-25.58541618030838,-21.28508814096444,-21.766049138742346,-13.461181095851874,-6.66962010325606,-2.1790636168891857
dd91117e81884d1c971f63d52142826f,2024-01-20 00:00:00+00:00,-0.0002871439169912504,0.00986015896767789,13.589625531782955,0.03013189175481632,13.482477394565288,60.15637435346637,0.05441126221881303,1.0005262334650646,1.0002436813391082,1.000608021870878,-0.6319597049129204,0.9696415869341607,1.000030959633438,2.6418636099018458,sma_50_200,-1.645288262192866,-52.70829736859842,-28.57862891762697,-16.31897730228815,-11.74054931356427,-3.0676285653023356,-1.645288262192866,-23.14293721593687,-18.923581560772956,-20.462946993073786,-11.056056880444125,-4.720294655123547,-2.9227849529760777
1496b2a6a7aa4b99bf8dcbf820a2d4ef,2024-01-21 00:00:00+00:00,-0.0017494297393029212,0.0006167653172132193,10.942292137214155,0.02635298610534636,24.555846332895936,46.80676564422705,0.04297739523390884,0.9994956753037718,0.9983107119244544,0.9999500043823851,-0.9094333885326085,1.0555359733053842,0.9999595452437681,0.31942752265156565,sma_50_200,-1.6163710446484898,-52.47031412656596,-28.380378742768766,-16.61466068192087,-11.858534774342537,-3.478239258376763,-1.6163710446484898,-23.12581693474202,-19.137881884169765,-21.03704647434294,-10.84519247536739,-4.931449154956848,-3.1863913248526896
61b14a7a8dbf47c4a4e4220597bf71f8,2024-01-22 00:00:00+00:00,-0.0007966389582393374,-0.0022001437217393782,10.996481395370738,0.02688729396158737,16.867911638025426,63.27746087991645,0.08748563260221053,1.0008601087235018,0.998431539067936,1.0006683363302358,0.030384883383357722,0.9904511508936809,1.0001899514710058,3.889554851594778,sma_50_200,-1.429624179155714,-52.86112673854983,-29.419987425756613,-16.516490028970164,-11.013141646628902,-3.549629604263182,-1.429624179155714,-23.608098482568277,-19.486703361555364,-20.43622340949117,-10.151937067292911,-4.425348374549234,-3.62306432543127
9a137d74eff248e3b2b8494d0f09e3dd,2024-01-23 00:00:00+00:00,-0.007441857323029377,-0.04884056277697035,40.84969840360241,0.10342288361469812,35.091353350971424,49.766225214071795,0.20880234769766937,0.9986573084766317,0.9925096007795198,1.000367266190723,-1.3515240497706096,1.0030319437086235,1.0005360647138941,1.6010691603056288,sma_30_120,-8.830974398770625,-56.442617105325475,-40.976816758543,-31.362071603174186,-20.3565875994457,-8.830974398770625,-9.61789304519769,-31.468234272747267,-28.080540840823804,-36.14457691879666,-15.993236385812304,-9.704101258840087,-11.038282747695876
4f190d73a29941ca8278e477de705cc7,2024-01-24 00:00:00+00:00,0.010142105159801518,0.007952514073049866,31.210094805600356,0.07892500114420514,69.3748819215784,68.4740704997532,0.11517412148675434,1.0039765666055238,1.0122213108361273,1.0016921506576546,1.3984622777795286,0.9584904382037764,1.0001748450318897,1.2531064048702187,sma_30_120,-5.052091329868353,-57.24714293658392,-42.857684456489075,-30.881453800851936,-21.742021619329805,-5.052091329868353,-6.094962291870251,-32.25462827777058,-28.829760724845006,-35.90285321742312,-15.415482322290734,-5.9159255950094085,-9.107244700574148
