mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,param_model__n_estimators,param_selector__k,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.3870187759399414,0.011922526373265338,0.05321516990661621,0.006413726571713266,,1,200,10,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 200, 'selector__k': 10}",0.2608695652173913,0.7391304347826086,0.7246376811594203,0.7536231884057971,0.6956521739130435,0.6347826086956523,0.18793698640518638,20
0.3717482089996338,0.019286743548612748,0.05261225700378418,0.0027778631537145257,,1,200,20,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 200, 'selector__k': 20}",0.2608695652173913,0.7681159420289855,0.7101449275362319,0.7536231884057971,0.6956521739130435,0.6376811594202898,0.19029156593820118,15
0.4981977939605713,0.1048016337434765,0.05199975967407226,0.0027074279826918533,,1,200,27,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 200, 'selector__k': 27}",0.2608695652173913,0.7536231884057971,0.7246376811594203,0.7536231884057971,0.6956521739130435,0.6376811594202899,0.1896281418411145,8
0.44381260871887207,0.0665960455662547,0.05948648452758789,0.005249663322367125,,1,200,all,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 200, 'selector__k': 'all'}",0.2608695652173913,0.7536231884057971,0.7246376811594203,0.7536231884057971,0.6956521739130435,0.6376811594202899,0.1896281418411145,8
0.7714427947998047,0.03493669976687674,0.09860110282897949,0.010665528733274152,,1,400,10,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 400, 'selector__k': 10}",0.2463768115942029,0.7536231884057971,0.7246376811594203,0.7536231884057971,0.6956521739130435,0.6347826086956523,0.19538898024756773,20
0.8542099475860596,0.06519453380740338,0.08565106391906738,0.004539951357091263,,1,400,20,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 400, 'selector__k': 20}",0.2608695652173913,0.7681159420289855,0.7101449275362319,0.7536231884057971,0.6956521739130435,0.6376811594202898,0.19029156593820118,15
0.9302709579467774,0.05993160813542759,0.08630647659301757,0.006933056713848745,,1,400,27,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 400, 'selector__k': 27}",0.2608695652173913,0.782608695652174,0.7246376811594203,0.7536231884057971,0.6956521739130435,0.6434782608695652,0.1934877596322161,1
0.9869989395141602,0.08778344924571106,0.09482593536376953,0.016852969181862736,,1,400,all,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 400, 'selector__k': 'all'}",0.2608695652173913,0.782608695652174,0.7246376811594203,0.7536231884057971,0.6956521739130435,0.6434782608695652,0.1934877596322161,1
0.4873715877532959,0.08414546883712166,0.07988195419311524,0.011553405088600727,,2,200,10,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__n_estimators': 200, 'selector__k': 10}",0.2463768115942029,0.5652173913043478,0.6956521739130435,0.7536231884057971,0.6956521739130435,0.591304347826087,0.183182902137101,32
0.49970059394836425,0.04913005522460988,0.1026071548461914,0.047984138523453054,,2,200,20,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__n_estimators': 200, 'selector__k': 20}",0.2463768115942029,0.5797101449275363,0.6956521739130435,0.7536231884057971,0.6956521739130435,0.5942028985507247,0.18286156864449282,29
0.5630705833435059,0.11080132399378324,0.058288860321044925,0.008440107118003587,,2,200,27,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__n_estimators': 200, 'selector__k': 27}",0.2463768115942029,0.5507246376811594,0.7101449275362319,0.7536231884057971,0.6956521739130435,0.591304347826087,0.18546195099184223,32
0.415639066696167,0.025352420154719144,0.054315614700317386,0.006842920890231203,,2,200,all,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__n_estimators': 200, 'selector__k': 'all'}",0.2463768115942029,0.5507246376811594,0.7101449275362319,0.7536231884057971,0.6956521739130435,0.591304347826087,0.18546195099184223,32
0.7823780059814454,0.04950092278219514,0.09434595108032226,0.01797582668601596,,2,400,10,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__n_estimators': 400, 'selector__k': 10}",0.2463768115942029,0.5217391304347826,0.6956521739130435,0.7536231884057971,0.7101449275362319,0.5855072463768116,0.18708567609397017,40
0.7977722644805908,0.031405214618572166,0.0768847942352295,0.00556083237509547,,2,400,20,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__n_estimators': 400, 'selector__k': 20}",0.2463768115942029,0.5797101449275363,0.7246376811594203,0.7536231884057971,0.6956521739130435,0.6,0.18641084279204093,25
0.9282696723937989,0.07885054373639906,0.08646035194396973,0.00901477043140977,,2,400,27,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__n_estimators': 400, 'selector__k': 27}",0.2463768115942029,0.5072463768115942,0.7101449275362319,0.7536231884057971,0.6956521739130435,0.5826086956521739,0.18816037527092733,45
0.895714521408081,0.09857708092604976,0.08990478515625,0.021566837498493547,,2,400,all,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__n_estimators': 400, 'selector__k': 'all'}",0.2463768115942029,0.5072463768115942,0.7101449275362319,0.7536231884057971,0.6956521739130435,0.5826086956521739,0.18816037527092733,45
