,precision,recall,f1-score,support
ema_30_90,0.0,0.0,0.0,3.0
ema_50_150,0.0,0.0,0.0,23.0
sma_30_120,0.0,0.0,0.0,13.0
sma_50_200,0.7045454545454546,1.0,0.8266666666666667,93.0
accuracy,0.7045454545454546,0.7045454545454546,0.7045454545454546,0.7045454545454546
macro avg,0.17613636363636365,0.25,0.20666666666666667,132.0
weighted avg,0.4963842975206612,0.7045454545454546,0.5824242424242424,132.0
