,precision,recall,f1-score,support
ema_30_90,0.0,0.0,0.0,3.0
ema_50_150,0.6875,0.4782608695652174,0.5641025641025641,23.0
sma_30_120,0.0,0.0,0.0,13.0
sma_50_200,0.782608695652174,0.967741935483871,0.8653846153846154,93.0
accuracy,0.7651515151515151,0.7651515151515151,0.7651515151515151,0.7651515151515151
macro avg,0.36752717391304346,0.3615007012622721,0.3573717948717949,132.0
weighted avg,0.6711750658761528,0.7651515151515151,0.7079933954933956,132.0
