,precision,recall,f1-score,support
ema_30_90,0.0,0.0,0.0,1.0
ema_50_150,1.0,0.06896551724137931,0.12903225806451613,29.0
sma_30_120,0.0,0.0,0.0,15.0
sma_50_200,0.6692307692307692,1.0,0.8018433179723502,87.0
accuracy,0.6742424242424242,0.6742424242424242,0.6742424242424242,0.6742424242424242
macro avg,0.41730769230769227,0.2672413793103448,0.23271889400921658,132.0
weighted avg,0.6607808857808858,0.6742424242424242,0.5568356374807987,132.0
